CNTY_NAME,MCD_NAME,STR_WARDS,CTV,Dallet,total,dallet_pct
buffalo,nelson,0001,t,55,145,0.3793103448275862
buffalo,waumandee,0001,t,73,177,0.4124293785310734
buffalo,cochrane,0001,v,34,61,0.5573770491803278
buffalo,nelson,0001,v,43,79,0.5443037974683544
buffalo,buffalocity,0001,c,100,199,0.5025125628140703
burnett,anderson,0001,t,20,44,0.45454545454545453
burnett,blaine,0001,t,14,32,0.4375
burnett,daniels,0001,t,39,103,0.3786407766990291
burnett,dewey,0001,t,30,119,0.25210084033613445
burnett,jackson,0001,t,68,132,0.5151515151515151
burnett,lincoln,0001,t,14,40,0.35
burnett,roosevelt,0001,t,15,42,0.35714285714285715
burnett,rusk,0001,t,24,63,0.38095238095238093
burnett,sandlake,0001,t,39,72,0.5416666666666666
burnett,union,0001,t,14,36,0.3888888888888889
burnett,webblake,0001,t,70,142,0.49295774647887325
calumet,charlestown,0001,t,52,132,0.3939393939393939
calumet,chilton,0001,t,27,65,0.4153846153846154
calumet,chilton,0002,t,32,107,0.29906542056074764
calumet,chilton,0003,t,2,13,0.15384615384615385
calumet,newholstein,0001,t,44,110.5,0.39819004524886875
calumet,newholstein,0002,t,21,52,0.40384615384615385
calumet,rantoul,0001,t,28,102,0.27450980392156865
calumet,stockbridge,0003,t,27,46,0.5869565217391305
calumet,woodville,0001,t,49,140,0.35
calumet,harrison,0010,v,39.333333333333336,79.66666666666667,0.49372384937238495
calumet,harrison,0014,v,36.75,68.5,0.5364963503649635
calumet,harrison,0015,v,18,33,0.5454545454545454
calumet,harrison,0016,v,43,98,0.4387755102040816
calumet,harrison,0017,v,11,24,0.4583333333333333
calumet,harrison,0018,v,65,105,0.6190476190476191
calumet,potter,0001,v,12,34,0.35294117647058826
calumet,sherwood,0001,v,28,59,0.4745762711864407
calumet,sherwood,0005,v,0,2,0
calumet,stockbridge,0001,v,95,171,0.5555555555555556
calumet,appleton,0012,c,60,85,0.7058823529411765
calumet,appleton,0013,c,128,205,0.624390243902439
calumet,appleton,0014,c,119,194,0.6134020618556701
calumet,appleton,0026,c,147,252,0.5833333333333334
calumet,appleton,0044,c,155,249,0.6224899598393574
calumet,appleton,0045,c,250,398,0.628140703517588
calumet,appleton,0046,c,16,29,0.5517241379310345
calumet,brillion,0001,c,57,109,0.5229357798165137
calumet,chilton,0001,c,38,94,0.40425531914893614
calumet,chilton,0002,c,52.5,121,0.43388429752066116
calumet,chilton,0003,c,53,122,0.4344262295081967
calumet,chilton,0004,c,54,104,0.5192307692307693
calumet,kiel,0007,c,33,54,0.6111111111111112
calumet,newholstein,0003,c,50,106,0.4716981132075472
calumet,newholstein,0004,c,69,116,0.5948275862068966
calumet,newholstein,0005,c,51,110,0.4636363636363636
chippewa,arthur,0001,t,45,102,0.4411764705882353
chippewa,auburn,0001,t,56,111,0.5045045045045045
chippewa,birchcreek,0001,t,49,111,0.44144144144144143
chippewa,cleveland,0001,t,61,125,0.488
chippewa,colburn,0001,t,39,120,0.325
chippewa,cooksvalley,0001,t,45,100,0.45
chippewa,delmar,0001,t,71,167,0.4251497005988024
chippewa,estella,0001,t,16,59,0.2711864406779661
chippewa,hallie,0001,t,27,48,0.5625
chippewa,howard,0001,t,61,130,0.46923076923076923
chippewa,ruby,0001,t,18,50,0.36
chippewa,sampson,0001,t,66,170,0.38823529411764707
chippewa,boyd,0001,v,51,87,0.5862068965517241
chippewa,newauburn,0001,v,28,67,0.417910447761194
chippewa,chippewafalls,0001,c,135,229,0.5895196506550219
chippewa,chippewafalls,0002,c,190,347,0.547550432276657
chippewa,chippewafalls,0003,c,242,429,0.5641025641025641
chippewa,chippewafalls,0004,c,179,275,0.6509090909090909
chippewa,chippewafalls,0005,c,136,208,0.6538461538461539
chippewa,chippewafalls,0006,c,117,204,0.5735294117647058
chippewa,chippewafalls,0007,c,190,333,0.5705705705705706
chippewa,eauclaire,0016,c,131,206,0.6359223300970874
chippewa,eauclaire,0041,c,23,29,0.7931034482758621
clark,beaver,0001,t,43,100,0.43
clark,butler,0001,t,9,24,0.375
clark,colby,0001,t,1,4,0.25
clark,colby,0002,t,37,75,0.49333333333333335
clark,colby,0003,t,8,21,0.38095238095238093
clark,dewhurst,0001,t,26,61,0.4262295081967213
clark,eaton,0001,t,26,94,0.2765957446808511
clark,eaton,0002,t,9,21,0.42857142857142855
clark,foster,0001,t,13,40,0.325
clark,fremont,0001,t,41,103,0.39805825242718446
clark,fremont,0002,t,9,44,0.20454545454545456
clark,grant,0001,t,56,130,0.4307692307692308
clark,grant,0002,t,10,26,0.38461538461538464
clark,greengrove,0001,t,24,51,0.47058823529411764
clark,greengrove,0002,t,2,4,0.5
clark,hendren,0001,t,42,101,0.4158415841584158
clark,hewett,0001,t,33,62,0.532258064516129
clark,hewett,0002,t,10,13,0.7692307692307693
clark,hixon,0001,t,28,60,0.4666666666666667
clark,hixon,0002,t,5,9,0.5555555555555556
clark,hoard,0001,t,5,40,0.125
clark,hoard,0002,t,21,46,0.45652173913043476
clark,levis,0001,t,18,47,0.3829787234042553
clark,levis,0002,t,9,42,0.21428571428571427
clark,longwood,0001,t,7,25,0.28
clark,longwood,0002,t,23,47,0.48936170212765956
clark,loyal,0001,t,2,17,0.11764705882352941
clark,loyal,0002,t,23,92,0.25
clark,lynn,0001,t,20,50,0.4
clark,lynn,0002,t,11,33,0.3333333333333333
clark,mayville,0001,t,11,25,0.44
clark,mayville,0002,t,18,55,0.32727272727272727
clark,mead,0001,t,18,40,0.45
clark,mentor,0001,t,34,65,0.5230769230769231
clark,reseburg,0001,t,37,66,0.5606060606060606
clark,reseburg,0002,t,8,9,0.8888888888888888
clark,seif,0001,t,31,53,0.5849056603773585
clark,sherman,0001,t,3,10,0.3
clark,sherman,0002,t,42,104,0.40384615384615385
clark,sherwood,0001,t,28,61,0.45901639344262296
clark,thorp,0001,t,46,101,0.45544554455445546
clark,unity,0001,t,38,93,0.40860215053763443
clark,warner,0001,t,31,85,0.36470588235294116
clark,warner,0002,t,6,14,0.42857142857142855
clark,washburn,0001,t,21,74,0.28378378378378377
clark,weston,0001,t,33,72,0.4583333333333333
clark,weston,0002,t,41,93,0.44086021505376344
clark,withee,0001,t,31,83,0.37349397590361444
